"Length","Year","Frequency"
20,1994,0
55,1994,0.336425822763797
60,1994,2.35498075934658
65,1994,4.37353569592936
70,1994,6.85432486238859
75,1994,7.39747393266484
80,1994,9.33316694477849
85,1994,14.5921187859559
90,1994,11.8100619430991
95,1994,10.1298799133494
100,1994,14.3795542862354
105,1994,9.88021018319342
110,1994,6.55500427006031
115,1994,4.20002351071373
120,1994,5.54377971769958
125,1994,2.47300083018188
130,1994,2.09665956559248
135,1994,0.46223422987646
140,1994,2.18536274226963
145,1994,0.588042636989123
150,1994,2.01660785251344
155,1994,0.336425822763797
160,1994,0.336425822763797
170,1994,0.336425822763797
200,1994,0.334478738694456
210,1994,0.336425822763797
215,1994,0.672851645527593
220,1994,0.336425822763797
225,1994,0.336425822763797
20,1995,0
30,1995,1.00170071313491
35,1995,2.03241583027288
40,1995,0.343571705712658
70,1995,0
75,1995,0.343571705712658
80,1995,0.343571705712658
90,1995,0.460843855739464
95,1995,1.03071511713797
100,1995,2.40500193998861
105,1995,1.03071511713797
110,1995,1.71785852856329
115,1995,4.1228604685519
120,1995,1.37428682285063
125,1995,2.74857364570127
130,1995,0.460843855739464
135,1995,1.03071511713797
140,1995,0.117272150026806
145,1995,1.03071511713797
155,1995,1.03071511713797
160,1995,0.117272150026806
170,1995,0.343571705712658
220,1995,0
20,1996,0
25,1996,1.46182902456729
30,1996,2.33461373652071
35,1996,2.43890762159593
40,1996,1.63455571303322
45,1996,0.18030443041731
50,1996,0.484750427538636
60,1996,0.18030443041731
70,1996,0
75,1996,0.18030443041731
80,1996,0.55439895284202
85,1996,0.55439895284202
90,1996,1.76627502168861
95,1996,4.26246493427023
100,1996,2.63548696318839
105,1996,6.03510197599755
110,1996,2.33104096606706
115,1996,3.71564372337959
120,1996,1.77385276363999
125,1996,1.71178198028798
130,1996,0.763344528752174
135,1996,1.73284538382945
140,1996,0.665054857955947
145,1996,0.665054857955947
150,1996,0.969500855077272
155,1996,0.242375213769318
165,1996,0.242375213769318
170,1996,0
220,1996,0
20,1997,0
30,1997,1.10047868834513
35,1997,4.37205981288457
40,1997,3.41539796933413
45,1997,3.71422773076722
50,1997,1.24444975922624
55,1997,0.442646606227784
70,1997,0
80,1997,0.514323689495497
85,1997,1.35764053309288
90,1997,0.84331684359738
95,1997,1.50130315180114
100,1997,1.68663368719476
105,1997,2.12943451950896
110,1997,3.70241475457782
115,1997,2.30295207871318
120,1997,1.6869421393676
125,1997,1.3577947591793
130,1997,1.10047868834513
135,1997,1.02880160507742
140,1997,0.956970295723282
145,1997,0.699808450975533
155,1997,0.84331684359738
160,1997,0.0718313093541338
170,1997,0
185,1997,0.0718313093541338
220,1997,0
20,1998,0
30,1998,1.05391668811487
35,1998,0.563880502940358
40,1998,1.22509046293628
45,1998,1.22509046293628
50,1998,0.490036185174511
70,1998,0
75,1998,0.490036185174511
80,1998,1.22509046293628
85,1998,1.69164150882107
90,1998,4.63185861986814
95,1998,5.5243995778735
100,1998,7.77012354492303
105,1998,8.17262831775388
110,1998,5.66567906858999
115,1998,5.9909506237583
120,1998,2.91673197175735
125,1998,1.22509046293628
130,1998,0.0738443177658466
135,1998,0.989870415060922
140,1998,0.735054277761767
145,1998,0.0738443177658466
150,1998,0.180971819533309
155,1998,0.245018092587256
160,1998,0.180971819533309
170,1998,0
220,1998,0
20,1999,0
35,1999,1.88709076796585
40,1999,2.71374953839843
45,1999,3.72853120772744
50,1999,0.61953181323368
55,1999,0.964208945730826
70,1999,0.440654514439637
85,1999,0.137550175298243
95,1999,0.275100350596485
105,1999,1.12920708518239
110,1999,0.137550175298243
115,1999,0.605652653891201
120,1999,0
125,1999,0.468102478592958
135,1999,0.468102478592958
140,1999,0.0687750876491213
145,1999,0.261777215645594
155,1999,0.261777215645594
170,1999,0
220,1999,0
20,2000,0
30,2000,0.850402140985756
35,2000,1.29591489533973
40,2000,2.07346383254356
45,2000,2.51736476237089
55,2000,1.03673191627178
60,2000,0.518365958135891
65,2000,1.1095851200537
70,2000,0.518365958135891
75,2000,0.923255344767677
80,2000,2.25656995877631
85,2000,4.39449346343934
90,2000,5.61916697952379
95,2000,6.68651690732866
100,2000,7.84673075129364
105,2000,5.54892538951329
110,2000,3.74109183414423
115,2000,3.76943264093515
120,2000,0.848790316459115
125,2000,2.07185200801692
130,2000,0.369435901518768
135,2000,0.58960733739117
140,2000,0.703083908895275
145,2000,0.442289105300689
155,2000,0.259182979067945
170,2000,0
185,2000,0.0728532037819203
190,2000,0.0728532037819203
195,2000,0.0728532037819203
220,2000,0
20,2001,0
30,2001,0.514655880114576
35,2001,2.85725406606742
40,2001,0.952818949256469
45,2001,0.506987251570663
65,2001,1.52096175471199
70,2001,0.137648364857541
75,2001,1.0827986855701
80,2001,0.137648364857541
85,2001,2.4879151793543
90,2001,0.148888353102881
95,2001,3.86781369856922
100,2001,0.253493625785332
105,2001,3.89303167313849
110,2001,1.0827986855701
115,2001,3.39371305011174
120,2001,0.506987251570663
125,2001,1.15929149654278
130,2001,0.261162254329245
135,2001,0.391141990642872
165,2001,0.0688241824287703
170,2001,0
175,2001,0.253493625785332
220,2001,0
20,2002,0.277708453807687
25,2002,0.277708453807687
30,2002,0.756099837725214
35,2002,6.81661664448736
40,2002,4.74435965608776
45,2002,7.10720171612
50,2002,4.16562680711531
55,2002,0.933466826477982
60,2002,0.833125361423062
65,2002,0.10034146505492
70,2002,0
75,2002,0.341857359680583
80,2002,0.20068293010984
85,2002,1.12127313876287
90,2002,0.779415779082287
95,2002,3.0803120442826
100,2002,0.378049918862607
105,2002,3.12474081595578
110,2002,3.27879186335147
115,2002,2.22263957990582
120,2002,1.72190420407555
125,2002,1.16551534701585
130,2002,1.11083381523075
135,2002,3.29630888651022
140,2002,0.277708453807687
145,2002,0.277708453807687
170,2002,0
220,2002,0
20,2003,0
30,2003,0.555295720862022
35,2003,0.555295720862022
40,2003,0.832943581293033
45,2003,1.94353502301708
50,2003,0.555295720862022
55,2003,0.832943581293033
65,2003,0.555295720862022
70,2003,0.277647860431011
75,2003,0.277647860431011
80,2003,0.380975510696263
85,2003,0.936271231558285
90,2003,1.52390204278505
95,2003,1.24625418235404
100,2003,1.4205743925198
105,2003,3.1536563785447
110,2003,2.55970318814691
115,2003,1.34958183261929
120,2003,1.03959888182354
125,2003,2.98186081108828
135,2003,1.90740219619066
140,2003,0.277647860431011
145,2003,0.277647860431011
170,2003,0
220,2003,0
20,2004,0
25,2004,0.1756224285154
30,2004,1.34623154092912
35,2004,3.85201734619053
40,2004,4.37130976776909
45,2004,3.76420613193283
50,2004,2.59318708902573
60,2004,0.259748693412628
70,2004,0
80,2004,0.215740603660431
85,2004,0.259748693412628
90,2004,0.2634336427731
95,2004,0.350473654938563
100,2004,0.431481207320862
105,2004,0.519497386825256
110,2004,0.695119815340657
115,2004,0.460400957529945
120,2004,0
125,2004,0.519497386825256
130,2004,1.90896581541433
135,2004,0.259748693412628
145,2004,0.259748693412628
170,2004,0
175,2004,0.0878112142577001
220,2004,0
20,2005,0.497547794987162
25,2005,0.954555532024916
30,2005,1.5534534718856
35,2005,2.33018020782839
40,2005,1.15142826232869
45,2005,1.53318344291089
50,2005,2.80745797384085
55,2005,0.497547794987162
60,2005,0.987428888401487
65,2005,0.197485777680297
70,2005,1.97918991858916
75,2005,1.58755292301522
80,2005,1.34496643284581
85,2005,0.91278937932246
90,2005,3.31760909622988
95,2005,1.62809298096462
100,2005,2.28197344830615
105,2005,1.35046706352555
110,2005,2.16740692865424
115,2005,0.258908911980933
120,2005,0.0987428888401487
170,2005,0
220,2005,0
20,2006,0
25,2006,0.464830492126042
30,2006,10.2703550249378
35,2006,9.8275666318942
40,2006,6.61448810389551
45,2006,1.39449147637813
50,2006,0.929660984252084
70,2006,0.549649607174529
80,2006,1.33788739276185
85,2006,1.37412401793632
90,2006,2.7058384783484
95,2006,1.92377362511085
100,2006,1.33171446041208
105,2006,2.47342323228538
110,2006,1.01448009930057
115,2006,1.37412401793632
120,2006,0.274824803587264
125,2006,1.09929921434906
130,2006,0.549649607174529
135,2006,1.16207623031511
170,2006,0
220,2006,0
20,2007,12.3952121084031
30,2007,8.62275624932386
40,2007,9.70060078048935
45,2007,2.15568906233097
50,2007,5.65868378861878
55,2007,3.92891873247188
60,2007,3.58412542674806
65,2007,2.3932826361839
70,2007,0.825743599400466
80,2007,0.46761813572746
90,2007,0.538922265582741
110,2007,0.269461132791371
120,2007,0.46067535533652
170,2007,0
220,2007,0
20,2008,1.14594955694705
25,2008,1.29193546949726
30,2008,2.29189911389411
35,2008,0.209725123049383
40,2008,0.629175369148149
45,2008,0.258387093899452
55,2008,0.258387093899452
60,2008,0.258387093899452
65,2008,0.258387093899452
70,2008,3.35903222069288
75,2008,0.516774187798904
80,2008,3.61741931459233
85,2008,1.80870965729616
90,2008,5.16774187798904
95,2008,0.258387093899452
100,2008,2.84225803289397
105,2008,2.06709675119562
110,2008,2.84727266037787
115,2008,0.516774187798904
120,2008,2.20206947285984
130,2008,0.516774187798904
140,2008,0.258387093899452
170,2008,0
220,2008,0
20,2009,0.280359190409397
25,2009,2.24287352327517
30,2009,12.715420397349
35,2009,12.3167757733247
40,2009,4.61568232800027
45,2009,0.251517843416104
50,2009,0.280359190409397
60,2009,0.390967427210388
65,2009,0.251517843416104
70,2009,0.368622583902042
80,2009,3.79235491531415
85,2009,2.69975950066986
90,2009,4.57401044004299
95,2009,6.58037780947666
100,2009,7.55357181076538
105,2009,4.75053722702828
110,2009,5.53393210426988
115,2009,2.55381341319063
120,2009,3.11627114652219
125,2009,1.07702640471283
130,2009,2.52323271368457
135,2009,0.531877033825501
140,2009,0.900499617727542
150,2009,0.560718380818793
170,2009,0
220,2009,0
20,2010,0
25,2010,0.77833788644025
30,2010,4.28640664701399
35,2010,2.38767980452182
40,2010,1.46891175585367
55,2010,0.253143374734199
60,2010,0.253143374734199
70,2010,1.77200362313939
75,2010,1.08663057308851
80,2010,1.60964498205293
85,2010,3.23850079031488
90,2010,3.29334703825758
95,2010,2.36907510625553
100,2010,2.03549545976199
105,2010,1.44728634096647
110,2010,2.8586341962279
115,2010,2.13483949375898
120,2010,2.29719813484544
125,2010,0.470348263763356
130,2010,1.19383990226091
135,2010,0.470348263763356
140,2010,0.959907353735727
145,2010,0.272354200943215
150,2010,0.0907847336477382
165,2010,0.0907847336477382
170,2010,0
220,2010,0
20,2011,0.25396111474621
25,2011,0.25396111474621
30,2011,1.77772780322347
35,2011,1.77772780322347
40,2011,0.983735317274215
45,2011,0.475813087781796
60,2011,0.345432680368316
70,2011,0.345432680368316
75,2011,0.182943131244211
80,2011,1.63569183621947
85,2011,0.853354909860735
90,2011,3.78466349409209
95,2011,4.44971768054789
100,2011,2.56006472958221
105,2011,1.52376668847726
110,2011,1.58312911238874
115,2011,2.76146312049769
120,2011,1.36127713935316
125,2011,1.63569183621947
130,2011,0.697665060817381
135,2011,0.76188334423863
145,2011,0.25396111474621
170,2011,0
220,2011,0
20,2012,0
25,2012,0.789031996899894
30,2012,2.0676611268124
35,2012,1.89899855445451
40,2012,1.05204266253319
50,2012,0.263010665633298
65,2012,0.789031996899894
70,2012,1.31505332816649
75,2012,2.01831724195387
80,2012,2.01831724195387
85,2012,3.15898119574745
90,2012,1.31790653631437
95,2012,2.28132790758717
100,2012,1.14351716194146
105,2012,0.666839715533394
110,2012,0.966274579420677
115,2012,0.789031996899894
120,2012,1.01561846427921
125,2012,0.177242582520783
130,2012,0.75260779864591
135,2012,0.426937290746811
140,2012,0.351631956893689
150,2012,0.0886212912603914
170,2012,0
220,2012,0
20,2013,0
25,2013,0.557735126794791
30,2013,4.70780843084573
35,2013,8.02256980830635
40,2013,9.18015187289621
45,2013,7.36844245535762
50,2013,2.07171266391529
55,2013,1.83434044938414
65,2013,0.320362912263639
70,2013,0.331962790929948
75,2013,0.961088736790916
80,2013,1.51882386358571
85,2013,1.85078665451565
90,2013,1.85078665451565
95,2013,2.23094050717916
100,2013,1.56825795227417
105,2013,0.795107341325942
110,2013,1.11547025358958
115,2013,0.331962790929948
120,2013,0.712116643593455
130,2013,0.712116643593455
155,2013,0.0829906977324869
170,2013,0
220,2013,0
20,2014,0
25,2014,0.234667888004097
30,2014,0.909961761131415
35,2014,0.938671552016388
40,2014,2.28925929827102
45,2014,4.9904347907803
50,2014,4.5210990147721
55,2014,2.90526378337717
60,2014,0.675293873127318
65,2014,0.0842595664036961
70,2014,0
75,2014,0.524885551526917
80,2014,2.13012180324386
85,2014,1.91356472644676
90,2014,3.08690416646724
95,2014,1.97971348164346
100,2014,2.83412546725615
105,2014,1.81119434883607
110,2014,2.21438136964756
115,2014,0.55359534241189
120,2014,0.403187020811489
125,2014,0.55359534241189
130,2014,0.318927454407793
145,2014,0.234667888004097
160,2014,0.234667888004097
170,2014,0
220,2014,0
20,2015,0
30,2015,1.04666246452324
35,2015,0.809557234150716
40,2015,1.41672515976375
45,2015,0.809557234150716
70,2015,0.567196255657007
75,2015,1.65973661260769
80,2015,1.74359080652697
85,2015,1.26938034578192
90,2015,2.77586592193636
95,2015,2.82500419402079
100,2015,2.43464792719502
105,2015,0.725738041367165
110,2015,0.558064654664335
115,2015,0.202389308537679
120,2015,0.774876313451596
125,2015,0.523348732829486
130,2015,0.202389308537679
170,2015,0
220,2015,0
20,2016,0
25,2016,0.832563449710721
30,2016,3.52268374340895
35,2016,1.89428344631475
40,2016,5.03096605595549
45,2016,3.01737107646218
50,2016,1.43482910789205
55,2016,0.200755219393776
60,2016,0.200755219393776
70,2016,0.0814436862152226
75,2016,0.311741477744616
80,2016,0.704926641704454
85,2016,1.24696591097846
90,2016,1.1500129197439
95,2016,1.23293264386219
100,2016,0.772337060803402
105,2016,0.704926641704454
110,2016,0.542039269274009
115,2016,0.921191166117572
120,2016,0.230297791529393
125,2016,0.460595583058786
130,2016,0.0814436862152226
135,2016,0.162887372430445
170,2016,0
220,2016,0
20,2017,0
35,2017,2.42913288008359
40,2017,3.64369932012539
45,2017,7.28223099384737
50,2017,5.28694847576061
55,2017,5.45521368738128
60,2017,5.11001322685686
65,2017,2.82560858164232
70,2017,0.739441787207139
75,2017,2.95776714882856
120,2017,0
170,2017,0
220,2017,0
